player,squad,position,games,minutes,minutes_90s,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc
Moussa Sissoko,Tottenham,MF,29.0,2452.0,27.2,0.0,0.0,8.0,0.0,0.07,0.04,0.11,0.11,0.09,0.04,0.12,0.09,0.12,-0.4,5.0,1.0,0.034482758620689655,0.2
Robert Snodgrass,West Ham,"MF,FW",24.0,1509.0,16.8,0.0,0.0,4.0,0.0,0.3,0.3,0.6,0.6,0.16,0.16,0.32,0.16,0.32,2.3,5.9,0.0,0.0,0.0
Tomáš Souček,West Ham,MF,13.0,1040.0,11.6,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.19,0.03,0.23,0.19,0.23,0.8,5.0,4.0,0.3076923076923077,0.8
Dale Stephens,Brighton,MF,33.0,2530.0,28.1,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.04,0.02,0.04,0.06,0.02,0.06,-0.5,4.5,0.0,0.0,0.0
Raheem Sterling,Manchester City,FW,33.0,2651.0,29.5,0.0,2.0,5.0,0.0,0.68,0.03,0.71,0.71,0.59,0.24,0.83,0.52,0.76,2.7,11.5,5.0,0.15151515151515152,0.43478260869565216
Youri Tielemans,Leicester City,MF,37.0,2828.0,31.4,0.0,0.0,2.0,0.0,0.1,0.19,0.29,0.29,0.1,0.18,0.28,0.1,0.28,-0.2,6.5,5.0,0.13513513513513514,0.7692307692307693
Lucas Torreira,Arsenal,MF,29.0,1512.0,16.8,0.0,0.0,7.0,0.0,0.06,0.06,0.12,0.12,0.09,0.07,0.16,0.09,0.16,-0.6,4.9,0.0,0.0,0.0
Andros Townsend,Crystal Palace,MF,24.0,1294.0,14.4,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.14,0.03,0.14,0.16,0.03,0.16,0.6,6.0,17.0,0.7083333333333334,2.8333333333333335
Adama Traoré,Wolves,"FW,MF",37.0,2605.0,28.9,0.0,0.0,1.0,0.0,0.14,0.31,0.45,0.45,0.12,0.23,0.35,0.12,0.35,0.5,6.5,5.0,0.13513513513513514,0.7692307692307693
Leandro Trossard,Brighton,"FW,MF",31.0,2011.0,22.3,0.0,0.0,0.0,0.0,0.22,0.13,0.36,0.36,0.21,0.17,0.37,0.21,0.37,0.3,6.0,14.0,0.45161290322580644,2.3333333333333335
Jamie Vardy,Leicester City,FW,35.0,3033.0,33.7,4.0,5.0,2.0,0.0,0.68,0.15,0.83,0.71,0.59,0.16,0.75,0.47,0.63,3.2,10.1,15.0,0.42857142857142855,1.4851485148514851
Matěj Vydra,Burnley,FW,19.0,819.0,9.1,0.0,0.0,0.0,0.0,0.22,0.11,0.33,0.33,0.41,0.11,0.52,0.41,0.52,-1.7,5.0,1.0,0.05263157894736842,0.2
Theo Walcott,Everton,"MF,FW",25.0,1287.0,14.3,0.0,0.0,1.0,0.0,0.14,0.21,0.35,0.35,0.19,0.2,0.39,0.19,0.39,-0.7,5.9,0.0,0.0,0.0
Ashley Westwood,Burnley,MF,35.0,3150.0,35.0,0.0,0.0,9.0,0.0,0.06,0.17,0.23,0.23,0.03,0.15,0.18,0.03,0.18,0.8,5.5,2.0,0.05714285714285714,0.36363636363636365
Georginio Wijnaldum,Liverpool,MF,37.0,2935.0,32.6,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.09,0.04,0.13,0.09,0.13,1.0,5.5,5.0,0.13513513513513514,0.9090909090909091
Willian,Chelsea,FW,36.0,2600.0,28.9,4.0,4.0,4.0,0.0,0.31,0.24,0.55,0.42,0.25,0.24,0.49,0.14,0.38,1.8,8.1,16.0,0.4444444444444444,1.9753086419753088
Joe Willock,Arsenal,"MF,FW",29.0,857.0,9.5,0.0,0.0,2.0,0.0,0.11,0.11,0.21,0.21,0.24,0.09,0.33,0.24,0.33,-1.3,4.9,0.0,0.0,0.0
Callum Wilson,Bournemouth,FW,35.0,2908.0,32.3,0.0,0.0,10.0,0.0,0.25,0.03,0.28,0.28,0.31,0.1,0.41,0.31,0.41,-2.0,6.5,10.0,0.2857142857142857,1.5384615384615385
Harry Wilson,Bournemouth,"MF,FW",31.0,1646.0,18.3,0.0,0.0,2.0,0.0,0.38,0.0,0.38,0.38,0.24,0.09,0.33,0.24,0.33,2.6,5.4,0.0,0.0,0.0
Harry Winks,Tottenham,MF,31.0,2221.0,24.7,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,-0.5,5.4,0.0,0.0,0.0
Chris Wood,Burnley,FW,32.0,2437.0,27.1,1.0,1.0,1.0,0.0,0.52,0.04,0.55,0.52,0.48,0.03,0.51,0.45,0.48,1.1,6.5,6.0,0.1875,0.9230769230769231
Granit Xhaka,Arsenal,MF,31.0,2586.0,28.7,0.0,0.0,10.0,0.0,0.03,0.07,0.1,0.1,0.01,0.03,0.05,0.01,0.05,0.6,5.5,5.0,0.16129032258064516,0.9090909090909091
Andriy Yarmolenko,West Ham,"MF,FW",23.0,991.0,11.0,0.0,0.0,2.0,0.0,0.45,0.09,0.54,0.54,0.18,0.24,0.42,0.18,0.42,3.0,5.9,1.0,0.043478260869565216,0.1694915254237288
Wilfried Zaha,Crystal Palace,"MF,FW",38.0,3280.0,36.4,0.0,0.0,5.0,0.0,0.11,0.08,0.19,0.19,0.15,0.09,0.24,0.15,0.24,-1.3,7.1,23.0,0.6052631578947368,3.23943661971831
