player,squad,position,games,minutes,minutes_90s,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc
John Fleck,Sheffield Utd,MF,30.0,2516.0,28.0,0.0,0.0,8.0,0.0,0.18,0.07,0.25,0.25,0.12,0.12,0.24,0.12,0.24,1.7,6.0,4.0,0.13333333333333333,0.6666666666666666
Phil Foden,Manchester City,"FW,MF",23.0,901.0,10.0,0.0,0.0,0.0,0.0,0.5,0.2,0.7,0.7,0.43,0.2,0.63,0.43,0.63,0.7,6.5,9.0,0.391304347826087,1.3846153846153846
Pablo Fornals,West Ham,"MF,FW",36.0,2172.0,24.1,0.0,0.0,3.0,0.0,0.08,0.21,0.29,0.29,0.12,0.09,0.2,0.12,0.2,-0.8,6.5,4.0,0.1111111111111111,0.6153846153846154
Ryan Fraser,Bournemouth,"MF,FW",28.0,2067.0,23.0,0.0,0.0,2.0,0.0,0.04,0.17,0.22,0.22,0.14,0.18,0.32,0.14,0.32,-2.2,6.0,1.0,0.03571428571428571,0.16666666666666666
Dwight Gayle,Newcastle Utd,FW,20.0,850.0,9.4,0.0,0.0,2.0,0.0,0.42,0.21,0.64,0.64,0.48,0.08,0.56,0.48,0.56,-0.5,6.0,0.0,0.0,0.0
Anwar El Ghazi,Aston Villa,"FW,MF",34.0,2051.0,22.8,1.0,1.0,3.0,0.0,0.18,0.18,0.35,0.31,0.26,0.12,0.38,0.22,0.34,-1.8,6.0,0.0,0.0,0.0
Olivier Giroud,Chelsea,FW,18.0,993.0,11.0,0.0,0.0,1.0,0.0,0.73,0.0,0.73,0.73,0.61,0.12,0.73,0.61,0.73,1.3,6.9,0.0,0.0,0.0
André Gomes,Everton,MF,19.0,1458.0,16.2,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.06,0.02,0.05,0.06,0.02,0.06,-0.2,5.5,5.0,0.2631578947368421,0.9090909090909091
Jack Grealish,Aston Villa,"FW,MF",36.0,3233.0,35.9,0.0,1.0,8.0,0.0,0.22,0.17,0.39,0.39,0.18,0.19,0.37,0.16,0.35,1.6,7.0,3.0,0.08333333333333333,0.42857142857142855
Mason Greenwood,Manchester Utd,FW,31.0,1320.0,14.7,0.0,0.0,0.0,0.0,0.68,0.07,0.75,0.75,0.25,0.05,0.3,0.25,0.3,6.3,7.5,1.0,0.03225806451612903,0.13333333333333333
Pascal Groß,Brighton,"FW,MF",29.0,1796.0,20.0,0.0,0.0,4.0,0.0,0.1,0.2,0.3,0.3,0.09,0.26,0.35,0.09,0.35,0.2,5.9,1.0,0.034482758620689655,0.1694915254237288
Mattéo Guendouzi,Arsenal,MF,24.0,1748.0,19.4,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.05,0.03,0.07,0.1,0.03,0.1,-0.7,4.9,0.0,0.0,0.0
İlkay Gündoğan,Manchester City,MF,31.0,2020.0,22.4,1.0,2.0,7.0,0.0,0.09,0.04,0.13,0.09,0.2,0.12,0.32,0.13,0.26,-2.5,5.5,0.0,0.0,0.0
Sébastien Haller,West Ham,FW,32.0,2266.0,25.2,0.0,0.0,1.0,0.0,0.28,0.04,0.32,0.32,0.31,0.08,0.38,0.31,0.38,-0.7,6.4,2.0,0.0625,0.3125
Isaac Hayden,Newcastle Utd,MF,29.0,2223.0,24.7,0.0,0.0,4.0,1.0,0.04,0.08,0.12,0.12,0.05,0.06,0.11,0.05,0.11,-0.2,5.0,4.0,0.13793103448275862,0.8
Jordan Henderson,Liverpool,MF,30.0,2238.0,24.9,0.0,0.0,2.0,0.0,0.16,0.2,0.36,0.36,0.06,0.12,0.17,0.06,0.17,2.6,5.5,3.0,0.1,0.5454545454545454
Jeff Hendrick,Burnley,MF,24.0,1931.0,21.5,0.0,0.0,8.0,0.0,0.09,0.09,0.19,0.19,0.07,0.04,0.11,0.07,0.11,0.4,5.0,16.0,0.6666666666666666,3.2
