player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Florian Lejeune,DF,Newcastle Utd,6.0,442.0,0.0,0.0,0.41,0.0,0.41,0.1,0.01,0.11,55.6,32.8,0.75,51.0,4.4,0.0,0.0,0.0
Jamal Lewis,DF,Norwich City,28.0,2304.0,4.0,0.0,0.04,0.0,0.04,0.01,0.04,0.05,40.9,30.3,0.5535714285714286,151.0,4.5,7.0,0.25,1.5555555555555556
Victor Lindelöf,DF,Manchester Utd,35.0,3092.0,6.0,0.0,0.03,0.0,0.03,0.01,0.01,0.02,70.6,29.0,0.5333333333333333,246.0,5.0,1.0,0.02857142857142857,0.2
Kevin Long,DF,Burnley,8.0,564.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,37.5,31.5,0.8,58.0,4.5,0.0,0.0,0.0
Matthew Lowton,DF,Burnley,17.0,1530.0,2.0,0.0,0.0,0.06,0.06,0.0,0.07,0.07,55.8,29.7,0.5454545454545454,147.0,4.5,0.0,0.0,0.0
David Luiz,DF,Arsenal,33.0,2809.0,5.0,2.0,0.06,0.03,0.1,0.06,0.03,0.09,38.5,34.6,0.6060606060606061,276.0,5.5,1.0,0.030303030303030304,0.18181818181818182
Harry Maguire,DF,Manchester Utd,38.0,3420.0,6.0,0.0,0.03,0.03,0.05,0.05,0.01,0.07,38.9,37.5,0.6136363636363636,366.0,5.5,0.0,0.0,0.0
Ainsley Maitland-Niles,DF,Arsenal,20.0,1386.0,6.0,1.0,0.0,0.13,0.13,0.02,0.09,0.11,33.3,28.3,0.6585365853658537,99.0,5.0,6.0,0.3,1.2
Javier Manquillo,DF,Newcastle Utd,21.0,1599.0,5.0,0.0,0.0,0.06,0.06,0.0,0.02,0.03,61.5,32.3,0.6808510638297872,115.0,4.5,6.0,0.2857142857142857,1.3333333333333333
Pablo Marí,DF,Arsenal,2.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.3,0.3333333333333333,16.0,4.5,0.0,0.0,0.0
Arthur Masuaku,DF,West Ham,17.0,937.0,6.0,1.0,0.0,0.1,0.1,0.01,0.1,0.1,36.7,29.1,0.627906976744186,71.0,4.5,1.0,0.058823529411764705,0.2222222222222222
Joël Matip,DF,Liverpool,9.0,703.0,0.0,0.0,0.13,0.0,0.13,0.04,0.0,0.04,41.7,42.2,0.6923076923076923,96.0,5.5,1.0,0.1111111111111111,0.18181818181818182
Ben Mee,DF,Burnley,32.0,2880.0,7.0,0.0,0.03,0.03,0.06,0.05,0.02,0.07,52.8,31.8,0.45714285714285713,387.0,5.0,0.0,0.0,0.0
Benjamin Mendy,DF,Manchester City,19.0,1492.0,3.0,0.0,0.0,0.12,0.12,0.02,0.08,0.1,34.5,28.9,0.7727272727272727,81.0,6.0,1.0,0.05263157894736842,0.16666666666666666
Yerry Mina,DF,Everton,29.0,2284.0,3.0,0.0,0.08,0.04,0.12,0.08,0.01,0.09,55.6,28.8,0.46511627906976744,244.0,5.5,7.0,0.2413793103448276,1.2727272727272727
Tyrone Mings,DF,Aston Villa,33.0,2902.0,7.0,0.0,0.06,0.06,0.12,0.03,0.02,0.06,55.6,41.3,0.68,328.0,5.0,10.0,0.30303030303030304,2.0
Tyrick Mitchell,DF,Crystal Palace,4.0,195.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,11.1,27.1,0.3333333333333333,10.0,4.1,11.0,2.75,2.682926829268293
Martín Montoya,DF,Brighton,27.0,1896.0,5.0,0.0,0.0,0.05,0.05,0.06,0.07,0.13,44.0,24.5,0.5714285714285714,125.0,4.5,0.0,0.0,0.0
Wes Morgan,DF,Leicester City,11.0,436.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,33.3,53.3,0.8,43.0,4.4,1.0,0.09090909090909091,0.22727272727272727
Shkodran Mustafi,DF,Arsenal,15.0,1207.0,2.0,0.0,0.0,0.07,0.07,0.06,0.0,0.06,15.4,33.3,0.6428571428571429,144.0,5.0,0.0,0.0,0.0
Jack O'Connell,DF,Sheffield Utd,33.0,2916.0,4.0,0.0,0.0,0.03,0.03,0.04,0.06,0.1,48.3,34.2,0.5714285714285714,330.0,5.0,3.0,0.09090909090909091,0.6
Angelo Ogbonna,DF,West Ham,31.0,2786.0,4.0,0.0,0.06,0.0,0.06,0.05,0.0,0.05,38.9,37.4,0.7555555555555555,281.0,5.0,2.0,0.06451612903225806,0.4
Nicolás Otamendi,DF,Manchester City,24.0,1715.0,3.0,0.0,0.1,0.0,0.1,0.13,0.01,0.13,41.9,33.0,0.5454545454545454,136.0,5.0,0.0,0.0,0.0
Emerson Palmieri,DF,Chelsea,15.0,1024.0,3.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,46.2,34.9,0.3181818181818182,70.0,5.0,0.0,0.0,0.0
Sokratis Papastathopoulos,DF,Arsenal,19.0,1696.0,6.0,0.0,0.11,0.0,0.11,0.05,0.01,0.06,44.0,28.2,0.5652173913043478,163.0,4.9,0.0,0.0,0.0
Ricardo Pereira,DF,Leicester City,28.0,2520.0,1.0,0.0,0.11,0.07,0.18,0.04,0.13,0.17,46.3,31.3,0.5573770491803278,199.0,6.0,0.0,0.0,0.0
Andrew Robertson,DF,Liverpool,36.0,3111.0,2.0,0.0,0.06,0.35,0.41,0.05,0.21,0.26,44.9,34.4,0.5333333333333333,179.0,7.0,10.0,0.2777777777777778,1.4285714285714286
Jack Robinson,DF,Sheffield Utd,6.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,50.0,30.2,0.3333333333333333,61.0,4.5,0.0,0.0,0.0
Marcos Rojo,DF,Manchester Utd,3.0,122.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,25.0,0.5,10.0,5.0,0.0,0.0,0.0
Antonio Rüdiger,DF,Chelsea,20.0,1710.0,3.0,0.0,0.11,0.0,0.11,0.03,0.02,0.05,61.9,38.6,0.5581395348837209,148.0,4.9,0.0,0.0,0.0
Romain Saïss,DF,Wolves,33.0,2705.0,12.0,1.0,0.07,0.03,0.1,0.09,0.02,0.11,51.1,33.8,0.45454545454545453,310.0,5.1,16.0,0.48484848484848486,3.1372549019607847
Mamadou Sakho,DF,Crystal Palace,14.0,931.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,28.3,0.5833333333333334,90.0,4.5,2.0,0.14285714285714285,0.4444444444444444
Davinson Sánchez,DF,Tottenham,29.0,2431.0,6.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,32.7,37.8,0.7346938775510204,250.0,5.5,1.0,0.034482758620689655,0.18181818181818182
Ryan Sessegnon,DF,Tottenham,6.0,342.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,40.0,21.6,0.0,20.0,4.9,0.0,0.0,0.0
Luke Shaw,DF,Manchester Utd,24.0,1733.0,7.0,0.0,0.0,0.0,0.0,0.03,0.07,0.09,42.9,28.5,0.7058823529411765,133.0,5.0,1.0,0.041666666666666664,0.2
Çağlar Söyüncü,DF,Leicester City,34.0,3036.0,4.0,1.0,0.03,0.03,0.06,0.07,0.01,0.07,52.7,39.9,0.6438356164383562,314.0,5.5,7.0,0.20588235294117646,1.2727272727272727
Jack Stephens,DF,Southampton,28.0,2451.0,4.0,1.0,0.04,0.11,0.15,0.03,0.05,0.07,42.9,35.0,0.625,273.0,5.0,1.0,0.03571428571428571,0.2
Enda Stevens,DF,Sheffield Utd,38.0,3345.0,7.0,0.0,0.05,0.11,0.16,0.03,0.12,0.15,32.4,26.6,0.5657894736842105,201.0,5.5,3.0,0.07894736842105263,0.5454545454545454
John Stones,DF,Manchester City,16.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,50.0,43.3,0.631578947368421,61.0,5.0,2.0,0.125,0.4
Japhet Tanganga,DF,Tottenham,6.0,525.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,47.4,31.6,0.75,56.0,4.9,0.0,0.0,0.0
Matt Targett,DF,Aston Villa,28.0,2291.0,4.0,0.0,0.04,0.08,0.12,0.02,0.11,0.12,35.7,29.3,0.5789473684210527,216.0,4.5,5.0,0.17857142857142858,1.1111111111111112
James Tarkowski,DF,Burnley,38.0,3420.0,10.0,0.0,0.05,0.05,0.11,0.06,0.05,0.11,50.0,31.9,0.6710526315789473,475.0,5.5,0.0,0.0,0.0
Charlie Taylor,DF,Burnley,24.0,1945.0,3.0,0.0,0.0,0.05,0.05,0.0,0.06,0.07,39.5,29.0,0.37209302325581395,195.0,4.5,3.0,0.125,0.6666666666666666
Neil Taylor,DF,Aston Villa,14.0,1091.0,2.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,42.9,27.3,0.47368421052631576,90.0,4.5,0.0,0.0,0.0
Luke Thomas,DF,Leicester City,3.0,267.0,0.0,0.0,0.0,0.34,0.34,0.0,0.29,0.29,25.0,22.2,0.75,17.0,4.4,0.0,0.0,0.0
Kieran Tierney,DF,Arsenal,15.0,989.0,2.0,0.0,0.09,0.09,0.18,0.02,0.1,0.12,66.7,31.0,0.5238095238095238,75.0,5.5,6.0,0.4,1.0909090909090908
James Tomkins,DF,Crystal Palace,18.0,1582.0,5.0,0.0,0.06,0.06,0.11,0.07,0.01,0.08,66.7,32.6,0.4666666666666667,194.0,4.5,0.0,0.0,0.0
Fikayo Tomori,DF,Chelsea,15.0,1291.0,3.0,0.0,0.07,0.0,0.07,0.04,0.01,0.06,53.8,32.2,0.5,142.0,4.9,0.0,0.0,0.0
Axel Tuanzebe,DF,Manchester Utd,5.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,1.0,18.0,4.5,0.0,0.0,0.0
Yan Valery,DF,Southampton,11.0,779.0,1.0,0.0,0.0,0.0,0.0,0.04,0.1,0.13,25.0,28.7,0.6190476190476191,71.0,4.9,0.0,0.0,0.0
Jannik Vestergaard,DF,Southampton,19.0,1497.0,3.0,0.0,0.06,0.0,0.06,0.05,0.01,0.06,28.6,36.6,0.48,209.0,4.5,1.0,0.05263157894736842,0.2222222222222222
Rúben Vinagre,DF,Wolves,16.0,652.0,1.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,68.8,32.5,0.52,48.0,4.4,1.0,0.0625,0.22727272727272727
Jake Vokins,DF,Southampton,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,100.0,46.2,0.0,2.0,4.0,0.0,0.0,0.0
Kyle Walker,DF,Manchester City,29.0,2392.0,5.0,0.0,0.04,0.15,0.19,0.03,0.08,0.12,57.6,39.5,0.696969696969697,124.0,6.0,2.0,0.06896551724137931,0.3333333333333333
Aaron Wan-Bissaka,DF,Manchester Utd,35.0,3070.0,8.0,0.0,0.0,0.12,0.12,0.03,0.09,0.12,61.6,28.8,0.47101449275362317,274.0,5.5,0.0,0.0,0.0
Joel Ward,DF,Crystal Palace,29.0,2382.0,4.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,51.9,26.4,0.4626865671641791,204.0,4.5,7.0,0.2413793103448276,1.5555555555555556
Kelland Watts,DF,Newcastle Utd,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Adam Webster,DF,Brighton,31.0,2668.0,4.0,0.0,0.1,0.03,0.13,0.04,0.03,0.07,44.4,38.7,0.6756756756756757,291.0,4.5,7.0,0.22580645161290322,1.5555555555555556
Brandon Williams,DF,Manchester Utd,17.0,1006.0,6.0,0.0,0.09,0.0,0.09,0.06,0.05,0.11,28.6,24.1,0.2631578947368421,70.0,4.5,0.0,0.0,0.0
Neco Williams,DF,Liverpool,6.0,230.0,1.0,0.0,0.0,0.0,0.0,0.1,0.04,0.14,75.0,33.3,0.3333333333333333,23.0,4.0,0.0,0.0,0.0
DeAndre Yedlin,DF,Newcastle Utd,16.0,938.0,3.0,0.0,0.1,0.0,0.1,0.06,0.03,0.09,33.3,21.0,0.7368421052631579,56.0,4.5,0.0,0.0,0.0
Oleksandr Zinchenko,DF,Manchester City,19.0,1276.0,2.0,1.0,0.0,0.0,0.0,0.03,0.12,0.15,43.6,32.4,0.5714285714285714,71.0,5.5,0.0,0.0,0.0
Kurt Zouma,DF,Chelsea,28.0,2344.0,6.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,37.5,31.1,0.5151515151515151,270.0,5.0,9.0,0.32142857142857145,1.8
Cédric Soares,DF,Southampton + Arsenal,21.0,1555.0,1.0,0.0,0.36,0.07,0.43,0.05,0.11,0.15,87.4,58.2,1.355072463768116,129.0,4.9,0.0,0.0,0.0
Danny Rose,DF,Newcastle Utd + Tottenham,23.0,1756.0,7.0,0.0,0.0,0.0,0.0,0.02,0.09000000000000001,0.1,86.2,64.5,1.3894230769230769,105.0,4.9,0.0,0.0,0.0
Kyle Walker-Peters,DF,Tottenham + Southampton,13.0,944.0,1.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,53.3,62.9,1.1714285714285713,82.0,6.0,2.0,0.15384615384615385,0.3333333333333333
Ryan Bennett,DF,Wolves + Leicester City,16.0,937.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,95.30000000000001,44.6,1.15,94.0,4.5,0.0,0.0,0.0
Tariq Lamptey,DF,Chelsea + Brighton,9.0,620.0,2.0,0.0,0.0,0.15,0.15,0.01,0.43000000000000005,0.44000000000000006,100.0,118.7,0.3333333333333333,46.0,4.5,7.0,0.7777777777777778,1.5555555555555556
