player,squad,position,games,minutes,minutes_90s,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc,pen_conv
Lys Mousset,Sheffield Utd,FW,30.0,1240.0,13.8,0.0,1.0,0.0,0.44,0.29,0.73,0.73,0.36,0.18,0.54,0.36,0.54,1.1,6.0,84.0,2.8,14.0,0.0
João Moutinho,Wolves,MF,38.0,3108.0,34.5,0.0,7.0,0.0,0.03,0.17,0.2,0.2,0.02,0.18,0.21,0.02,0.21,0.2,5.5,113.0,2.973684210526316,20.545454545454547,0.0
Glenn Murray,Brighton,FW,23.0,797.0,8.9,0.0,0.0,0.0,0.11,0.11,0.23,0.23,0.24,0.06,0.3,0.24,0.3,-1.1,5.0,36.0,1.565217391304348,7.2,0.0
Marvelous Nakamba,Aston Villa,MF,29.0,1836.0,20.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,-0.2,4.5,43.0,1.4827586206896552,9.555555555555555,0.0
Wilfred Ndidi,Leicester City,MF,32.0,2674.0,29.7,0.0,6.0,0.0,0.07,0.03,0.1,0.1,0.06,0.01,0.07,0.06,0.07,0.2,5.0,85.0,2.65625,17.0,0.0
Tanguy Ndombele,Tottenham,MF,21.0,1009.0,11.2,0.0,3.0,0.0,0.18,0.18,0.36,0.36,0.04,0.11,0.14,0.04,0.14,1.6,6.0,45.0,2.142857142857143,7.5,0.0
Pedro Neto,Wolves,"FW,MF",29.0,939.0,10.4,0.0,3.0,0.0,0.29,0.29,0.58,0.58,0.19,0.22,0.41,0.19,0.41,1.0,5.5,57.0,1.9655172413793103,10.363636363636363,0.0
Rúben Neves,Wolves,MF,38.0,3056.0,34.0,0.0,9.0,0.0,0.06,0.06,0.12,0.12,0.05,0.06,0.11,0.05,0.11,0.3,5.5,97.0,2.5526315789473686,17.636363636363637,0.0
Mark Noble,West Ham,MF,33.0,2674.0,29.7,3.0,5.0,0.0,0.13,0.1,0.24,0.13,0.09,0.1,0.19,0.02,0.12,1.2,5.0,105.0,3.1818181818181817,21.0,1.0
Oliver Norwood,Sheffield Utd,MF,38.0,3090.0,34.3,1.0,8.0,0.0,0.03,0.03,0.06,0.03,0.04,0.12,0.17,0.02,0.14,-0.5,5.0,98.0,2.5789473684210527,19.6,1.0
Divock Origi,Liverpool,FW,28.0,717.0,8.0,0.0,1.0,0.0,0.5,0.13,0.63,0.63,0.25,0.03,0.28,0.25,0.28,2.0,5.5,65.0,2.3214285714285716,11.818181818181818,0.0
Alex Oxlade-Chamberlain,Liverpool,"MF,FW",30.0,1485.0,16.5,0.0,1.0,0.0,0.24,0.06,0.3,0.3,0.19,0.08,0.27,0.19,0.27,0.9,6.5,76.0,2.533333333333333,11.692307692307692,0.0
Mesut Özil,Arsenal,MF,18.0,1438.0,16.0,0.0,1.0,0.0,0.06,0.13,0.19,0.19,0.08,0.14,0.22,0.08,0.22,-0.3,7.0,53.0,2.9444444444444446,7.571428571428571,0.0
Nicolas Pépé,Arsenal,FW,31.0,2010.0,22.3,1.0,4.0,0.0,0.22,0.27,0.49,0.45,0.21,0.2,0.41,0.17,0.37,0.3,8.0,106.0,3.4193548387096775,13.25,1.0
Andreas Pereira,Manchester Utd,"MF,FW",25.0,1484.0,16.5,0.0,3.0,0.0,0.06,0.18,0.24,0.24,0.15,0.24,0.39,0.15,0.39,-1.4,5.0,60.0,2.4,12.0,0.0
Ayoze Pérez,Leicester City,"MF,FW",33.0,2004.0,22.3,1.0,0.0,0.0,0.36,0.18,0.54,0.49,0.25,0.17,0.42,0.22,0.39,2.3,6.5,129.0,3.909090909090909,19.846153846153847,1.0
Paul Pogba,Manchester Utd,MF,16.0,1204.0,13.4,1.0,1.0,0.0,0.07,0.22,0.3,0.3,0.14,0.2,0.35,0.09,0.29,-0.9,8.0,51.0,3.1875,6.375,0.0
Dennis Praet,Leicester City,MF,27.0,1134.0,12.6,0.0,2.0,0.0,0.08,0.16,0.24,0.24,0.11,0.06,0.17,0.11,0.17,-0.3,5.5,54.0,2.0,9.818181818181818,0.0
Davy Pröpper,Brighton,MF,35.0,2829.0,31.4,0.0,4.0,0.0,0.03,0.06,0.1,0.1,0.04,0.07,0.11,0.04,0.11,-0.3,5.0,78.0,2.2285714285714286,15.6,0.0
Christian Pulisic,Chelsea,FW,25.0,1722.0,19.1,0.0,0.0,0.0,0.47,0.21,0.68,0.68,0.41,0.18,0.59,0.41,0.59,1.1,8.5,127.0,5.08,14.941176470588236,0.0
Marcus Rashford,Manchester Utd,FW,31.0,2643.0,29.4,8.0,3.0,0.0,0.58,0.24,0.82,0.61,0.6,0.16,0.76,0.39,0.55,-0.6,9.5,177.0,5.709677419354839,18.63157894736842,0.75
Nathan Redmond,Southampton,"MF,FW",32.0,2762.0,30.7,0.0,2.0,0.0,0.13,0.13,0.26,0.26,0.16,0.1,0.26,0.16,0.26,-1.0,6.5,107.0,3.34375,16.46153846153846,0.0
Declan Rice,West Ham,MF,38.0,3420.0,38.0,0.0,6.0,0.0,0.03,0.08,0.11,0.11,0.03,0.04,0.07,0.03,0.07,-0.1,5.0,105.0,2.763157894736842,21.0,0.0
Richarlison,Everton,FW,36.0,3070.0,34.1,0.0,8.0,0.0,0.38,0.09,0.47,0.47,0.26,0.14,0.41,0.26,0.41,4.0,8.0,165.0,4.583333333333333,20.625,0.0
Jay Rodriguez,Burnley,FW,36.0,2016.0,22.4,1.0,1.0,0.0,0.36,0.04,0.4,0.36,0.36,0.04,0.4,0.32,0.37,0.0,6.0,100.0,2.7777777777777777,16.666666666666668,1.0
